stations,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
"('Bullewijk', 'Noord')",,,,,,,,,,
"('Bullewijk', 'Noorderpark')",,,,,,,,,,
"('Bullewijk', 'Olympiaplein')",,,,,,,,,,
"('Bullewijk', 'Olympiaweg')",,,,,,,,,,
"('Bullewijk', 'Olympisch stadion')",,,,,,,,,,
"('Bullewijk', 'Overamstel')",,,,,,,,,,
"('Bullewijk', 'Postjesweg')",,,,,,,,,,
"('Bullewijk', 'Prinsengracht')",,,,,,,,,,
"('Bullewijk', 'Reigersbos')",,,,,,,,,,
"('Bullewijk', 'Rijksmuseum')",,,,,,,,,,
"('Bullewijk', 'Roelof Hartplein')",,,,,,,,,,
"('Bullewijk', 'Rokin')",,,,,,,,,,
"('Bullewijk', 'Scheldestraat')",,,,,,,,,,
"('Bullewijk', 'Spaklerweg')",,,,,,,,,,
"('Bullewijk', 'Spui')",,,,,,,,,,
"('Bullewijk', 'Station Bijlmer ArenA')",,,,,,,,,,
"('Bullewijk', 'Station Diemen-Zuid')",,,,,,,,,,
"('Bullewijk', 'Station Duivendrecht')",,,,,,,,,,
"('Bullewijk', 'Station Ganzenhoef')",,,,,,,,,,
"('Bullewijk', 'Station Holendrecht')",,,,,,,,,,
"('Bullewijk', 'Station RAI')",,,,,,,,,,
"('Bullewijk', 'Station Sloterdijk')",,,,,,,,,,
"('Bullewijk', 'Strandvliet')",,,,,,,,,,
"('Bullewijk', 'Van Baerlestraat')",,,,,,,,,,
"('Bullewijk', 'Van der Madeweg')",11.0,27.0,17.0,15.0,24.0,20.0,22.0,19.0,30.0,28.0
"('Bullewijk', 'Venserpolder')",,,,,,,,,,
"('Bullewijk', 'Verrijn Stuartweg')",,,,,,,,,,
"('Bullewijk', 'Victorieplein')",,,,,,,,,,
"('Bullewijk', 'Vijzelgracht')",,,,,,,,,,
"('Bullewijk', 'VU medisch centrum')",,,,,,,,,,
"('Bullewijk', 'Waalstraat')",,,,,,,,,,
"('Bullewijk', 'Waterlooplein')",,,,,,,,,,
"('Bullewijk', 'Weesperplein')",,,,,,,,,,
"('Bullewijk', 'Wibautstraat')",,,,,,,,,,
"('Bullewijk', 'Station Zuid')",44.0,37.0,41.0,46.0,31.0,36.0,36.0,32.0,37.0,52.0
"('Bullewijk', 'Station Lelylaan')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Centraal Station')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Cornelis Troostplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Dam')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'De Boelelaan/VU')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'De Pijp')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Europaplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Gaasperplas')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Gein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Gerrit v.d. Veenstraat')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Heemstedestraat')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Henk Sneevlietweg')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'IJsbaanpad')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Isolatorweg')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Jan v.Galenstraat')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Keizersgracht')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Koningsplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Kraaienneststation')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Leidseplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Maasstraat')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Marie Heinekenplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Minervaplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Muntplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Museumplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Nieuwezijds Kolk')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Nieuwmarkt')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Noord')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Noorderpark')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Olympiaplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Olympiaweg')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Olympisch stadion')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Overamstel')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Postjesweg')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Prinsengracht')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Reigersbos')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Rijksmuseum')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Roelof Hartplein')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Rokin')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Scheldestraat')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Spaklerweg')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Spui')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Station Bijlmer ArenA')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Station Diemen-Zuid')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Station Duivendrecht')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Station Ganzenhoef')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Station Holendrecht')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Station RAI')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Station Sloterdijk')",,,,,,,,,,
"('Burg.de Vlugtlaan', 'Strandvliet')",,,,,,,,,,
